text,label
"hallo anggota kelompok 1;

silahkan sebutkan nama kelompok, ketua dan anggotanya yaa.

salam

kasiyah
",C0
"selamat malam bu kasiyah!

kami dari kelompok ""kitabisa"", dengan anggota:

1. alfan lesmana adhitia
2. christopher tamba (ketua)
3. m. farras nur
4. m. fiqri adrian

kami siap mendiskusikan pemicu yang ibu berikan smile
",C1
"senang sekali ada yang membaca dan menanggapi tulisan saya. kalian sudah siap dengan pemicu pendahuluan. pemicu utama akan diberikan kemudian jika pemicu pendahuluan sudah sampai pada tujuannya: pemahaman bersama tentang ruang euclid.

masih ingat operasi aljabar vektor pada bidang dan pada ruang (r2 dan r3) kan?

bagaimana dengan entitas berikut ini

   a = (1, 3, -1, 9, 12, 6)

   b = (0, 0, 0, 0, 0, 0)

   d = (-1, -3, 1, -9, -12, -6)

   x = (a1, a2, a3, a4, a5, a6)

makhluk apakah mereka? tinggalnya di mana smile ? apakah kalian dapat menjumlahkan? mengalikan dengan skalar? adapkah operasi lain yang kalian usulkan?

salam

kasiyah
",C1
"selamat malam kelompok 1 dan ibu kasiyah, terima kasih banyak bu kasiyah atas pemicu pendahuluannya bu , keihatannya pemicunya menarik, kami akan mencoba mendiskusikannya terlebih dahulu bu smile",C1
silahkan dilanjutkan diskusinya.,C0
"haloo selamat malam bu kasiyah dan teman-teman semua.

terima kasih sebelumnya kepada bu kasiyah yang telah memberikan pemicu yang menarik kepada kami.",C0
"saya ingin menyatakan pendapatnya pada pemicu tersebut.menurut saya, makhluk dimaksudnya kali ini adalah sebuah vektor yang memilki tempat tinggal di r6dan operasi yang dapat dilakukan yaitu penjumlahan, pengurangan sesuai dengan urutan besarannya serta perkalian terhadap scalar.

berikut adalah pendapat saya pada entitas yang ada pada pemicu:

1.entitas a  merupakan sebuah vektor yang terdapat di r6

2.entitas b  merupakan sebuah vektor nol yang direpresentasikan sebagai sebuah titik pada r6

3.entitas c  merupakan sebuah vektor yang a yang mendapatkan operasi yaitu perkalian scalar dengan nilai -1 sehingga menyebabkan arahnya kebalikan daripada vector a

4. entitas d merupakan sebuah vector yang belum ditetapkan nilainya yang terdapat di r6

 

demikian pendapat dari saya , saya sangat menantikan respon dari teman-teman  terhadap pendapat saya, mohon dapat diperbaiki ataupun ditambahkan.

 

terima kasih
",C2
"selamat malam,

jawaban yang sungguh baik alfan. saya sependapat dengan kamu dalam hal ini. menurut saya, apa yang dikatakan alfan sudah benar. apa yang diberikan oleh bu kasiyah adalah representasi vektor di r6. dalam hal ini, sifat-sifat maupun operasi pada vektor yang sudah kita ketahui di r2 dan r3 dapat digeneralisasi untuk r6, bahkan rn. sebagai contoh, kita tetap bisa menghitung norm, dot product, dan distance pada vektor di r6 dengan memperluas rumus yang sudah diperoleh untuk vektor di r2 atau r3.

hal yang sedikit membedakan, kita tidak bisa memvisualisasikan suatu vektor di r6 karena kita hidup dan bekerja di batasan ruang 3 dimensi.

demikian pendapat dari saya, sangat terbuka untuk dikomentari atau dikoreksi oleh bu kasiyah maupun teman-teman yang lain smile.

 

sumber : anton, h & rorres, c. (2010). elementary linear algebra: applications version. john wiley & sons.

kita bisa membaca ebooknya di sini
",C3
bagaimana pendapat anggota lain?,C1
"terimakasih banyak alfan, sangat lengkap. dukungan christo memperkuat argumentasi, apalagi dengan mengajukan acuan. ",C0
